Class Name, Initialization Kind, Reason for Initialization
com.oracle.svm.core.MissingRegistrationSupport, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.NativeSecureRandomFilesCloserTearDownHook, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.NeverInline, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.NeverInline[], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.core.RegisterDumper, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.StaticFieldsSupport, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DiagnosticLevel, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DiagnosticThunk, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DiagnosticThunkRegistry, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DiagnosticThunk[], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpAOTCompiledCodeInfo, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpCodeCacheHistory, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpCounters, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpCurrentThreadDecodedStackTrace, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpCurrentThreadFrameAnchors, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpCurrentThreadLocals, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpCurrentTimestamp, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpCurrentVMOperation, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpDeoptStubPointer, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpInstructions, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpOtherStackTraces, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpRecentDeoptimizations, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpRegisters, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpRuntimeCodeInfoMemory, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpThreads, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpTopFrame, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpTopOfCurrentThreadStack, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpVMOperationHistory, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$ErrorContext, BUILD_TIME, classes annotated with RawStructure are always initialized at image build time
com.oracle.svm.core.SubstrateDiagnostics$FatalErrorState, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$ImageCodeLocationInfoPrinter, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$Options, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$Options$1, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateGCOptions, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateGCOptions$1, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateGCOptions$2, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateGCOptions$3, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateOptions, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateOptions$10, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateOptions$11, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateOptions$12, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateOptions$9, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateOptions$ConcealedOptions, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateSegfaultHandler, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateSegfaultHandler$Options, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateSegfaultHandler$SingleIsolateSegfaultSetup, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateSegfaultHandlerStartupHook, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateTargetDescription, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateUtil, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateUtil$Target_com_oracle_svm_core_SubstrateUtil, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.SubstrateUtil$Target_java_io_FileOutputStream, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.Target_java_io_FilterInputStream, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.Target_java_lang_Terminator, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.Target_sun_security_provider_NativePRNG, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.Target_sun_security_provider_NativePRNG_RandomIO, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.Uninterruptible, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.Uninterruptible[], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.core.UnmanagedMemoryUtil, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.UnsafeMemoryUtil, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.VMInspectionOptions, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.WeakIdentityHashMap, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.WeakIdentityHashMap$Entry, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.WeakIdentityHashMap$EntryIterator, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.WeakIdentityHashMap$EntrySet, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.WeakIdentityHashMap$EntrySpliterator, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.WeakIdentityHashMap$Entry[], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.core.WeakIdentityHashMap$HashIterator, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.WeakIdentityHashMap$KeyIterator, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.WeakIdentityHashMap$KeySet, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.WeakIdentityHashMap$KeySpliterator, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.WeakIdentityHashMap$ValueIterator, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.WeakIdentityHashMap$ValueSpliterator, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.WeakIdentityHashMap$Values, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.WeakIdentityHashMap$WeakIdentityHashMapSpliterator, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.aarch64.AArch64CPUFeatureAccess, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.aarch64.AArch64FrameAccess, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.aarch64.AArch64LibCHelper, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.aarch64.AArch64LibCHelper$CPUFeatures, BUILD_TIME, classes annotated with CStruct are always initialized at image build time and classes annotated with CContext are always initialized at image build time
com.oracle.svm.core.aarch64.AArch64LibCHelperDirectives, BUILD_TIME, CContext.Directives must be eagerly initialized
com.oracle.svm.core.allocationprofile.AllocationCounter, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.allocationprofile.AllocationSite, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.allocationprofile.AllocationSite$Options, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.amd64.AMD64LibCHelper$CPUFeatures, BUILD_TIME, classes annotated with CStruct are always initialized at image build time and classes annotated with CContext are always initialized at image build time
com.oracle.svm.core.amd64.AMD64LibCHelperDirectives, BUILD_TIME, CContext.Directives must be eagerly initialized
com.oracle.svm.core.c.BoxedRelocatedPointer, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.CCharPointerHolderImpl, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.CGlobalData, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.CGlobalDataImpl, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.CGlobalDataNonConstantRegistry, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.CTypeConversionSupportImpl, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.CTypeConversionSupportImpl$1, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.NonmovableArrays, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.Target_org_graalvm_nativeimage_c_function_CEntryPointLiteral, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.c.enums.EnumNoLookup, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.enums.EnumRuntimeData, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.function.CEntryPointActions, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.function.CEntryPointBuiltins, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.function.CEntryPointCreateIsolateParameters, BUILD_TIME, classes annotated with CStruct are always initialized at image build time
com.oracle.svm.core.c.function.CEntryPointNativeFunctions, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.function.CEntryPointNativeFunctions$IsolatePointer, BUILD_TIME, classes annotated with CPointerTo are always initialized at image build time
com.oracle.svm.core.c.function.CEntryPointNativeFunctions$IsolateThreadPointer, BUILD_TIME, classes annotated with CPointerTo are always initialized at image build time
com.oracle.svm.core.c.function.CEntryPointOptions, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.function.CEntryPointOptions$Epilogue, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.function.CEntryPointOptions$Prologue, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.function.CEntryPointOptions[], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.core.c.function.CEntryPointSetup, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.function.CEntryPointSetup$EnterPrologue, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.function.CEntryPointSetup$LeaveDetachThreadEpilogue, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.function.CEntryPointSetup$LeaveEpilogue, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.function.CEntryPointSetup$LeaveTearDownIsolateEpilogue, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.function.GraalIsolateHeader, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.classinitialization.ClassInitializationInfo, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.classinitialization.ClassInitializationInfo$InitState, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.classinitialization.ClassInitializationInfo$InitState[], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.core.classinitialization.EnsureClassInitializedNode, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.classinitialization.EnsureClassInitializedSnippets, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.CodeInfo, BUILD_TIME, classes annotated with RawStructure are always initialized at image build time
com.oracle.svm.core.code.CodeInfoAccess, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.CodeInfoDecoder, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.CodeInfoDecoder$DummyValueInfoAllocator, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.CodeInfoDecoder$FrameInfoCursor, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.CodeInfoDecoder$FrameInfoState, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.CodeInfoDecoder$SingleShotFrameInfoQueryResultAllocator, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.CodeInfoDecoderCounters, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.CodeInfoImpl, BUILD_TIME, classes annotated with RawStructure are always initialized at image build time
com.oracle.svm.core.code.CodeInfoPointer, BUILD_TIME, classes annotated with RawPointerTo are always initialized at image build time
com.oracle.svm.core.code.CodeInfoQueryResult, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.CodeInfoTable, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.CodeInfoTableCounters, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.CodeInfoTether, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.FactoryMethodHolder, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.FactoryMethodMarker, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.FactoryMethodMarker[], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.core.code.FactoryThrowMethodHolder, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.FrameInfoDecoder, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.FrameInfoDecoder$1, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.FrameInfoDecoder$CompressedFrameDecoderHelper, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.FrameInfoDecoder$FrameInfoQueryResultAllocator, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.FrameInfoDecoder$HeapBasedFrameInfoQueryResultAllocator, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.FrameInfoDecoder$HeapBasedValueInfoAllocator, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.FrameInfoDecoder$ValueInfoAllocator, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.FrameInfoQueryResult, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.FrameInfoQueryResult$$Lambda$1045/0x0000007801117610, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.FrameInfoQueryResult$$Lambda$1046/0x0000007801117840, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.FrameInfoQueryResult$ValueInfo, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.FrameInfoQueryResult$ValueInfo[], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.core.code.FrameInfoQueryResult$ValueInfo[][], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.core.code.FrameInfoQueryResult$ValueType, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.FrameInfoQueryResult$ValueType[], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.core.code.ImageCodeInfo, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.InstalledCodeObserver$InstalledCodeObserverHandle, BUILD_TIME, classes annotated with RawStructure are always initialized at image build time
com.oracle.svm.core.code.InstalledCodeObserverSupport, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.IsolateEnterStub, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.IsolateLeaveStub, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.ReusableTypeReader, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.RuntimeCodeCache, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.RuntimeCodeCache$CodeInfoVisitor, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.RuntimeCodeInfoAccess, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.RuntimeCodeInfoAccess$1, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.RuntimeCodeInfoAccess$NonmovableArrayAction, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.RuntimeCodeInfoMemory, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.SimpleCodeInfoQueryResult, BUILD_TIME, classes annotated with RawStructure are always initialized at image build time
com.oracle.svm.core.code.UntetheredCodeInfo, BUILD_TIME, classes annotated with RawStructure are always initialized at image build time
com.oracle.svm.core.code.UntetheredCodeInfoAccess, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.collections.AbstractUninterruptibleHashtable, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.collections.GrowableWordArray, BUILD_TIME, classes annotated with RawStructure are always initialized at image build time
com.oracle.svm.core.collections.GrowableWordArrayAccess, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.collections.UninterruptibleEntry, BUILD_TIME, classes annotated with RawStructure are always initialized at image build time
com.oracle.svm.core.collections.UninterruptibleEntry[], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.core.collections.UninterruptibleHashtable, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.config.ConfigurationValues, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.config.ObjectLayout, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.configure.ConfigurationFile, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.configure.ConfigurationFile[], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.core.cpufeature.RuntimeCPUFeatureCheck, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.cpufeature.RuntimeCPUFeatureCheckImpl, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.cpufeature.RuntimeCPUFeatureCheckInitializer, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.deopt.DeoptimizationSupport, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.deopt.DeoptimizedFrame, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.deopt.DeoptimizedFrame$ReserveDeoptScratchSpace, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.deopt.DeoptimizedFrame$ReserveDeoptScratchSpace[], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.core.deopt.Deoptimizer, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.AbstractCollectionPolicy, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.AbstractCollectionPolicy$SizeParameters, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.AbstractMemoryPoolMXBean, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.AbstractMemoryPoolMXBean[], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.core.genscavenge.AdaptiveCollectionPolicy, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.AdaptivePaddedAverage, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.AdaptiveWeightedAverage, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.AlignedHeapChunk, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.AlignedHeapChunk$AlignedHeader, BUILD_TIME, classes annotated with RawStructure are always initialized at image build time
com.oracle.svm.core.genscavenge.AuxiliaryImageHeap, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.ChunksAccounting, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.CollectionPolicy, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.CompleteGarbageCollectorMXBean, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.GCAccounting, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.GCImpl, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.GCImpl$$Lambda$614/0x000000780101c000, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.GCImpl$ChunkReleaser, BUILD_TIME, Native Image classes are always initialized at build time
