34287,9/11/21
33839,9/12/21
31705,9/13/21
31305,9/14/21
30976,9/15/21
30643,9/16/21
29628,9/17/21
39056,9/18/21
44066,9/19/21
34829,9/20/21
30759,9/21/21
28630,9/22/21
32976,9/23/21
25899,9/24/21
33611,9/25/21
31694,9/26/21
29144,9/27/21
31400,9/28/21
35653,9/29/21
32426,9/30/21
29060,10/1/21
39573,10/2/21
39274,10/3/21
40296,10/4/21
31217,10/5/21
25466,10/6/21
30181,10/7/21
27447,10/8/21
28709,10/9/21
32784,10/10/21
26343,10/11/21
25029,10/12/21
28735,10/13/21
27210,10/14/21
27843,10/15/21
26430,10/16/21
24928,10/17/21
23262,10/18/21
30754,10/19/21
25871,10/20/21
30194,10/21/21
25114,10/22/21
25506,10/23/21
27242,10/24/21
29667,10/25/21
25020,10/26/21
27924,10/27/21
36741,10/28/21
47825,10/29/21
57111,10/30/21
42358,10/31/21
35907,11/1/21
35231,11/2/21
33427,11/3/21
32703,11/4/21
31133,11/5/21
35028,11/6/21
35133,11/7/21
36901,11/8/21
36177,11/9/21
30853,11/10/21
29920,11/11/21
32317,11/12/21
38069,11/13/21
35878,11/14/21
28526,11/15/21
17950,11/16/21
24625,11/17/21
25424,11/18/21
25094,11/19/21
26683,11/20/21
23053,11/21/21
26865,11/22/21
26031,11/23/21
27950,11/24/21
34193,11/25/21
33576,11/26/21
33272,11/27/21
37179,11/28/21
32493,11/29/21
33552,11/30/21
28400,12/01/21
30561,12/02/21
33251,12/03/21
36800,12/04/21
30552,12/05/21
28921,12/06/21
27844,12/07/21
25664,12/08/21
30308,12/09/21
42927,12/10/21
39354,12/11/21
35194,12/12/21
33722,12/13/21
33793,12/14/21
31352,12/15/21
33274,12/16/21
33636,12/17/21
42649,12/18/21
53158,12/19/21
49230,12/20/21
41575,12/21/21
31636,12/22/21
35532,12/23/21
29957,12/24/21
32205,12/25/21
31379,12/26/21
34377,12/27/21
33619,12/28/21
36953,12/29/21
40903,12/30/21
38627,12/31/21
29386,1/1/22
25774,1/2/22
32653,1/3/22
31245,1/4/22
28662,1/5/22
25092,1/6/22
26227,1/7/22
31550,1/8/22
28095,1/9/22
28082,1/10/22
32292,1/11/22
32736,1/12/22
30040,1/13/22
29687,1/14/22
30372,1/15/22
